# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
rayleigh;~;real;385
rayleigh_rng;(real sigma);real;385
rep_array;(T x, int k, int m, int n);T[];322
rep_array;(T x, int m, int n);T[];321
rep_array;(T x, int n);T[];321
rep_matrix;(real x, int m, int n);matrix;335
rep_matrix;(row_vector rv, int m);matrix;335
rep_matrix;(vector v, int n);matrix;335
rep_row_vector;(real x, int n);row_vector;335
rep_vector;(real x, int m);vector;335
rising_factorial;(real x, real n);real;315
round;(real x);real;304
row;(matrix x, int m);row_vector;336
rows_dot_product;(matrix x, matrix y);vector;330
rows_dot_product;(row_vector x, row_vector y);vector;330
rows_dot_product;(vector x, vector y);vector;330
rows_dot_self;(matrix x);vector;331
rows_dot_self;(row_vector x);vector;331
rows_dot_self;(vector x);vector;331
rows;(matrix x);int;325
rows;(row_vector x);int;325
rows;(vector x);int;325
scaled_inv_chi_square_ccdf_log;(reals y, reals nu, reals sigma);real;380
scaled_inv_chi_square_cdf_log;(reals y, reals nu, reals sigma);real;380
scaled_inv_chi_square_cdf;(reals y, reals nu, reals sigma);real;380
scaled_inv_chi_square_log;(reals y, reals nu, reals sigma);real;380
scaled_inv_chi_square;~;real;379
scaled_inv_chi_square_rng;(real nu, real sigma);real;380
sd;(matrix x);real;334
sd;(real x[]);real;319
sd;(row_vector x);real;334
sd;(vector x);real;334
segment;(row_vector v, int i, int n);row_vector;337
segment;(T[] sv, int i, int n);T[];337
segment;(vector v, int i, int n);vector;337
singular_values;(matrix A);vector;342
sinh;(real x);real;308
sin;(real x);real;307
size;(T[] x);int;321
skew_normal_ccdf_log;(reals y, reals mu, reals sigma reals alpha);real;371
skew_normal_cdf_log;(reals y, reals mu, reals sigma reals alpha);real;371
skew_normal_cdf;(reals y, reals mu, reals sigma, reals alpha);real;371
skew_normal_log;(reals y, reals mu, reals sigma, reals alpha);real;371
skew_normal;~;real;371
skew_normal_rng;(real mu, real sigma, real alpha);real;371
softmax;(vector x);vector;339
sort_asc;(int[] v);int[];323
sort_asc;(real[] v);real[];323
sort_asc;(row_vector v);row_vector;342
sort_asc;(vector v);vector;342
sort_desc;(int[] v);int[];323
sort_desc;(real[] v);real[];323
sort_desc;(row_vector v);row_vector;343
sort_desc;(vector v);vector;343
sort_indices_asc;(int[] v);int[];323
sort_indices_asc;(real[] v);int[];323
sort_indices_asc;(row_vector v);int[];343
sort_indices_asc;(vector v);int[];343
sort_indices_desc;(int[] v);int[];323
sort_indices_desc;(real[] v);int[];323
sort_indices_desc;(row_vector v);int[];343
sort_indices_desc;(vector v);int[];343
sqrt2;();real;296
sqrt;(real x);real;305
squared_distance;(row_vector x, row_vector y[]);real;320
squared_distance;(row_vector x, vector y[]);real;320
squared_distance;(vector x, row_vector y[]);real;320
squared_distance;(vector x, vector y);real;320
square;(real x);real;305
step;(real x);real;300
student_t_ccdf_log;(reals y, reals nu, reals mu, reals sigma);real;372
student_t_cdf_log;(reals y, reals nu, reals mu, reals sigma);real;372
student_t_cdf;(reals y, reals nu, reals mu, reals sigma);real;372
student_t_log;(reals y, reals nu, reals mu, reals sigma);real;372
student_t;~;real;372
student_t_rng;(real nu, real mu, real sigma);real;372
sub_col;(matrix x, int i, int j, int n_rows);vector;336
sub_row;(matrix x, int i, int j, int n_cols);row_vector;336
sum;(int x[]);int;318
sum;(matrix x);real;333
sum;(real x[]);real;318
sum;(row_vector x);real;333
sum;(vector x);real;333
tail;(row_vector rv, int n);row_vector;337
tail;(T[] sv, int n);T[];337
tail;(vector v, int n);vector;337
tanh;(real x);real;308
tan;(real x);real;307
tcrossprod;(matrix x);matrix;331
tgamma;(real x);real;311
to_array_1d;(int[...] a);int[];347
to_array_1d;(matrix m);real[];347
to_array_1d;(real[...] a);real[];347
to_array_1d;(row_vector v);real[];347
to_array_1d;(vector v);real[];347
to_array_2d;(matrix m);real[,];347
to_matrix;(int[,] a);matrix;346
to_matrix;(matrix m);matrix;346
to_matrix;(real[,] a);matrix;346
to_matrix;(row_vector v);matrix;346
to_matrix;(vector v);matrix;346
to_row_vector;(int[] a);row_vector;347
to_row_vector;(matrix m);row_vector;347
to_row_vector;(real[] a);row_vector;347
to_row_vector;(row_vector v);row_vector;347
to_row_vector;(vector v);row_vector;347
to_vector;(int[] a);vector;346
to_vector;(matrix m);vector;346
to_vector;(real[] a);vector;346
to_vector;(row_vector v);vector;346
to_vector;(vector v);vector;346
trace_gen_quad_form;(matrix D,matrix A, matrix B);real;332
trace;(matrix A);real;341
trace_quad_form;(matrix A, matrix B);real;332
trigamma;(real x);real;312
trunc;(real x);real;304
uniform_ccdf_log;(reals y, reals alpha, reals beta);real;393
uniform_cdf_log;(reals y, reals alpha, reals beta);real;393
uniform_cdf;(reals y, reals alpha, reals beta);real;393
uniform_log;(reals y, reals alpha, reals beta);real;393
uniform;~;real;393
uniform_rng;(real alpha, real beta);real;393
variance;(matrix x);real;334
variance;(real x[]);real;319
variance;(row_vector x);real;334
variance;(vector x);real;334
von_mises_log;(reals y, reals mu, reals kappa);real;391
von_mises;~;real;391
von_mises_rng;(reals mu, reals kappa);real;391
weibull_ccdf_log;(reals y, reals alpha, reals sigma);real;383
weibull_cdf_log;(reals y, reals alpha, reals sigma);real;383
weibull_cdf;(reals y, reals alpha, reals sigma);real;383
weibull_log;(reals y, reals alpha, reals sigma);real;383
weibull;~;real;383
weibull_rng;(real alpha, real sigma);real;383
wiener_log;(reals y, reals alpha, reals tau, reals beta, reals delta);real;386
wiener;~;real;386
wishart_log;(matrix W, real nu, matrix Sigma);real;405
wishart;~;real;405
wishart_rng;(real nu, matrix Sigma);matrix;405
