# Samples Generated by Stan
# stan_version_major=1
# stan_version_minor=3
# stan_version_patch=0
# init=random
# append_samples=0
# seed=1405435606
# chain_id=2
# chain_id_src=user
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# equal_step_sizes=0
# epsilon_pm=0
# delta=0.5
# gamma=0.05
# nondiag_mass=0
# sample_file=./rstan_doc_ex_2.csv
#
lp__,accept_stat__,stepsize__,treedepth__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-16.6277,0.98228,0.888328,1,0.478461,1.05691,-0.71679,0.869857,0.338941,-1.0349,0.444351,1.24808,0.223281
-16.6277,0,3.29516,-1,0.478461,1.05691,-0.71679,0.869857,0.338941,-1.0349,0.444351,1.24808,0.223281
-14.5079,1,0.682571,1,0.352389,1.20657,0.238061,0.374828,-0.45833,0.708402,-0.309268,0.682239,0.261843
-14.5079,0,3.06986,-1,0.352389,1.20657,0.238061,0.374828,-0.45833,0.708402,-0.309268,0.682239,0.261843
-21.3539,0.598128,0.627549,1,0.360527,1.27219,-0.75542,1.50752,-1.4958,1.71214,-2.20495,1.40336,0.78083
-17.2939,0.671519,0.8421,1,0.224064,1.02875,-1.24268,0.6565,-1.17829,-0.729406,-1.70741,-0.125035,0.115429
# Adaptation terminated
# Step size = 1.19033
# Diagonal elements of inverse mass matrix:
# 0.0325255, 0.0213195, 0.804808, 1.05743, 0.578886, 0.955911, 1.50078, 0.767455, 2.03445
-14.8583,2.66049e-05,1.19033,1,0.155116,1.17757,0.612603,0.35836,-0.885305,0.139855,0.30162,-1.27775,0.232407
-15.7375,0.806368,1.19033,1,-0.10927,1.09088,-0.28393,0.0600005,-0.346799,0.876372,-1.07238,1.62412,0.441863
-15.7375,1.39073e-71,1.19033,0,-0.10927,1.09088,-0.28393,0.0600005,-0.346799,0.876372,-1.07238,1.62412,0.441863
-17.377,0.776584,1.19033,1,0.402705,1.17362,0.476554,-0.885527,0.411657,-0.0383907,0.538433,-2.39697,0.623255
-16.7085,0.444653,1.19033,1,0.280965,1.0242,1.85376,-0.1955,-0.639187,1.30359,-0.401965,0.621014,0.21139
-17.5669,0.584063,1.19033,1,0.5605,0.908947,0.124732,-0.30474,-0.113325,1.28143,0.307875,-0.863338,0.388947
-17.6311,0.000638707,1.19033,1,0.495498,1.04225,-0.322866,-1.10715,-0.71707,-0.118248,1.22155,-1.15226,0.095603
-17.8917,5.34123e-06,1.19033,1,0.373284,1.30288,1.526,-1.05906,-0.635546,1.38566,0.544457,-1.05696,0.195459
-19.3913,0.209436,1.19033,1,0.128391,1.16323,-0.218611,1.83513,0.362766,-1.50192,-2.06045,-0.92932,1.47679
-21.9844,0.829999,1.19033,1,0.525826,1.12796,0.61287,-1.48349,-0.144547,1.88748,2.25747,1.69105,0.149303
-18.5247,1,1.19033,1,0.422696,0.924701,-0.693263,-1.66648,-1.30121,0.0360616,0.509893,0.666018,0.085159
-17.3909,1,1.19033,1,-0.117392,1.36822,0.623652,1.1819,1.37223,-0.0341809,-0.119569,1.49439,1.0233
-17.6082,0.881038,1.19033,1,-0.325727,1.04123,-0.901329,-1.49134,-1.231,0.632477,-0.52319,-0.366136,0.23234
-17.4483,0.870216,1.19033,1,0.429547,1.31525,1.45047,0.703383,1.08769,-0.943511,-0.381578,-1.21669,0.741
-16.3653,1,1.19033,1,0.100218,0.966709,-1.28737,-1.47755,-1.04095,0.887582,-0.628132,0.0603623,0.371055
-15.9381,0.592022,1.19033,1,0.0605783,1.01891,1.14815,-0.184533,1.25767,-1.1044,-0.641125,0.978895,0.751706
-24.3485,0.533289,1.19033,1,0.706475,0.89105,-0.171052,0.175805,0.0782563,-1.66774,-2.4782,1.441,0.191684
-16.4116,3.97548e-28,1.19033,2,-0.148394,1.29998,-0.28599,-0.425233,0.249566,1.36249,1.41672,-0.533832,0.20981
-15.9254,0.818319,1.19033,1,-0.111705,1.35091,0.041846,0.87786,1.33943,-0.655515,-0.192891,0.195928,1.07317
-17.8632,0.371374,1.19033,1,-0.0724905,1.21305,-0.618123,0.0206885,0.670555,-1.5277,-1.57142,-1.25896,0.093951
-17.2506,0.61199,1.19033,1,-0.243348,1.32289,0.0777457,-0.137894,1.13544,1.42935,-0.362687,1.11666,0.134552
-17.2506,3.6676e-15,1.19033,0,-0.243348,1.32289,0.0777457,-0.137894,1.13544,1.42935,-0.362687,1.11666,0.134552
-18.4956,0.607084,1.19033,1,-0.54054,1.23365,-0.633458,-0.613128,-1.10846,-0.634684,0.021497,1.06328,1.39531
-17.6782,1,1.19033,1,-0.294656,1.13095,0.0170192,0.351073,0.595182,2.48225,-0.228769,0.429652,0.433174
-14.8012,0.723062,1.19033,1,0.164421,1.26363,0.575802,-0.609271,-0.471744,-1.1795,0.451704,-0.457289,0.664928
-14.7488,0.907187,1.19033,1,0.188883,1.01051,-0.312478,0.95532,-0.413307,0.646977,-1.12382,0.510388,0.614698
-14.7488,2.61719e-08,1.19033,1,0.188883,1.01051,-0.312478,0.95532,-0.413307,0.646977,-1.12382,0.510388,0.614698
-14.7488,1.6928e-35,1.19033,2,0.188883,1.01051,-0.312478,0.95532,-0.413307,0.646977,-1.12382,0.510388,0.614698
-14.7488,4.08152e-11,1.19033,1,0.188883,1.01051,-0.312478,0.95532,-0.413307,0.646977,-1.12382,0.510388,0.614698
-14.7488,0.108114,1.19033,1,0.188883,1.01051,-0.312478,0.95532,-0.413307,0.646977,-1.12382,0.510388,0.614698
-14.7488,0.202345,1.19033,1,0.188883,1.01051,-0.312478,0.95532,-0.413307,0.646977,-1.12382,0.510388,0.614698
-14.7488,0.277573,1.19033,1,0.188883,1.01051,-0.312478,0.95532,-0.413307,0.646977,-1.12382,0.510388,0.614698
-19.5092,0.250999,1.19033,1,-0.265253,1.33251,-2.08631,0.928273,0.454092,-0.955616,1.87288,-0.56801,0.465087
-17.2642,0.00473166,1.19033,2,-0.0673611,0.991324,2.18546,-0.305672,-0.270058,0.371407,-0.644908,1.33641,0.257795
-16.7732,0.777758,1.19033,1,0.227548,1.09383,-1.7457,0.457202,0.392002,-1.5989,1.06063,-0.101056,0.300355
-21.4342,2.55809e-13,1.19033,3,0.718701,1.46263,-0.318014,-0.359727,1.00797,-2.35084,0.902838,-0.515681,0.05273
