# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=0
# stan_version_patch=1
# init=random
# seed=202728319
# chain_id=3
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.65
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./rstan_doc_ex_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-18.6337,0.995697,0.583797,2,0.224057,1.07158,2.31707,0.402281,0.373056,1.01104,1.67501,0.745878,0.152464
-16.3982,0.935016,0.583797,1,-0.0018943,1.08111,-0.416311,0.0971001,-1.58878,-1.33632,-0.112771,-0.672126,0.0950804
-18.4557,0.870559,0.583797,1,-0.0811102,1.25612,-0.343321,-0.794549,-1.35702,-1.27297,-0.130086,-1.53893,0.0398327
-17.7992,0.905682,0.583797,1,0.125846,1.10052,0.508937,-1.30367,0.812656,-0.800705,1.26672,1.85848,0.122007
-23.3333,0.812918,0.583797,2,0.604308,1.31671,1.52859,1.18268,-1.87563,0.953051,-0.239541,-2.80241,0.933506
-20.7271,0.964914,0.583797,2,0.433731,1.29546,-1.3065,-1.15919,1.92933,-0.664849,0.164867,2.16464,0.130272
-15.4881,1,0.583797,1,0.190611,1.28373,0.174924,0.230296,-1.33364,-0.219728,0.646179,-1.16401,0.825689
-15.7732,0.991569,0.583797,2,-0.139834,0.967977,0.190175,-0.297189,1.35299,0.212668,-0.172881,1.31321,0.424225
-14.7474,0.925969,0.583797,2,0.212119,1.07761,0.924923,-0.412777,-1.26385,0.115638,-0.0583173,-0.814502,0.432902
-14.5525,0.960108,0.583797,1,0.270267,1.30113,-0.55556,-0.151612,-0.0844072,0.537765,0.00634087,0.357562,0.154782
-15.3969,0.84632,0.583797,2,0.0452336,0.942147,1.44247,0.240215,0.127921,-0.520136,-1.10393,-0.419309,0.381584
-16.7018,0.728537,0.583797,1,0.146027,1.14563,0.894946,-0.678465,-0.350754,0.0399534,0.0287162,-0.106595,0.00971188
-16.5139,0.976541,0.583797,2,0.0883953,1.19014,0.877471,-0.72586,0.482625,-0.482368,-0.311736,0.123458,0.0163559
-17.0734,0.748895,0.583797,1,0.237947,1.239,0.105786,-0.0582734,0.427305,-0.887402,0.143535,0.522059,0.00897515
-17.4566,0.519309,0.583797,1,0.292488,1.10157,-1.16776,-0.863261,0.718809,-0.481111,1.25339,-0.338797,0.0290784
-16.8539,0.673049,0.583797,1,-0.00723417,0.821179,-0.245043,-0.457195,0.0997023,-0.970798,0.122377,-1.195,0.147116
-14.6789,1,0.583797,1,0.116364,0.887168,0.46283,0.471162,-0.570278,-0.858548,-0.078287,-0.0147706,0.615966
-16.3798,0.84583,0.583797,2,-0.0469391,0.904765,0.184198,-0.210689,-0.459558,0.585084,1.63286,-0.517474,0.129844
-17.4795,0.915142,0.583797,2,0.281691,1.0193,1.26003,1.65005,-1.07595,0.242347,0.630166,1.50678,0.549663
-18.3055,0.968114,0.583797,2,0.659219,1.35303,-1.51432,-1.22323,0.966456,-0.868594,-0.189955,0.382646,0.452838
-19.3602,0.752131,0.583797,2,0.115912,1.31666,0.937516,1.72328,-2.05431,0.210192,-0.4879,-1.00897,0.0721138
-18.4432,0.951344,0.583797,2,0.652906,1.05676,-0.593742,-1.42015,0.328561,1.16682,-0.672557,0.541691,1.11674
-18.1764,0.994239,0.583797,2,0.408883,1.07306,0.108911,-0.376005,-0.349152,2.73058,0.198695,0.972241,0.420255
-14.6923,0.941805,0.583797,1,0.0322252,1.1239,-1.02584,-0.736878,0.231058,0.0415174,-0.0787522,0.665377,1.26991
-14.2725,1,0.583797,2,0.092604,1.07987,0.877635,0.725384,0.541798,-0.405799,0.306504,-0.721204,0.301791
-14.2725,0.851878,0.583797,1,0.092604,1.07987,0.877635,0.725384,0.541798,-0.405799,0.306504,-0.721204,0.301791
-15.6387,0.740282,0.583797,2,0.145668,1.02241,1.37813,0.531711,-1.4307,0.0331862,0.654656,-0.572337,0.712157
-17.0604,0.805804,0.583797,1,0.345389,1.13294,0.279883,0.44862,-2.23354,0.413477,0.417701,-1.01091,0.962202
-16.0205,0.808108,0.583797,2,0.148923,1.13504,0.400669,-1.24329,-1.4452,-0.527365,-0.784694,-0.932487,0.90064
-17.294,0.754844,0.583797,2,-0.265992,1.06855,0.997475,-0.00908285,1.17217,-0.320299,0.471683,0.804525,0.0470051
-16.7887,0.944835,0.583797,2,0.395508,1.15229,-1.87297,-0.0458017,-1.16814,0.265328,0.553144,-0.366437,1.09424
-18.7492,0.736545,0.583797,2,-0.318701,1.37676,1.95962,-1.22429,-0.706937,0.642898,-0.546714,1.11656,0.631397
-15.4279,0.977204,0.583797,2,0.0130246,1.29212,0.763725,-1.13586,0.317391,-0.366113,-0.28768,-1.09881,0.247496
-17.0918,0.950825,0.583797,2,0.079049,0.89684,-0.554877,2.08694,-0.638581,0.595036,-0.12107,0.864727,0.878502
-17.0918,0.639205,0.583797,2,0.079049,0.89684,-0.554877,2.08694,-0.638581,0.595036,-0.12107,0.864727,0.878502
-15.2261,0.963561,0.583797,2,0.0321636,1.02512,-0.435921,1.49455,-0.85079,-0.824796,-0.0133875,0.36404,0.827374
-14.2186,0.966582,0.583797,1,0.0441036,1.07147,-0.38556,0.222647,-0.125419,-0.679357,0.564571,0.707064,0.159736
-17.209,0.889287,0.583797,1,-0.137822,1.01402,-0.23843,-0.317266,-0.213852,1.41288,-1.25015,0.988243,0.0624207
-17.5868,0.903536,0.583797,2,-0.509251,1.44098,-0.295582,0.715618,-0.724398,-1.13204,0.467039,-0.672536,0.431295
-15.7456,1,0.583797,2,0.0204724,0.966962,0.527709,-1.07543,1.30124,0.388722,0.743366,0.968311,0.613944
